date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-03-27,Naharlagun,1.0,Moderate,129,PM10
2021-03-28,Naharlagun,1.0,Moderate,131,PM10
2021-03-29,Naharlagun,1.0,Moderate,126,PM10
2021-03-30,Naharlagun,1.0,Moderate,119,PM10
2021-03-31,Naharlagun,1.0,Satisfactory,78,PM10
2021-04-02,Naharlagun,1.0,Satisfactory,68,PM10
2021-04-07,Naharlagun,1.0,Moderate,102,PM10
2021-04-09,Naharlagun,1.0,Satisfactory,88,PM10
2021-04-14,Naharlagun,1.0,Good,38,PM2.5
2021-04-16,Naharlagun,1.0,Satisfactory,76,PM10
2021-04-17,Naharlagun,1.0,Satisfactory,69,PM10
2021-04-18,Naharlagun,1.0,Satisfactory,63,PM10
2021-04-19,Naharlagun,1.0,Satisfactory,72,PM10
2021-04-23,Naharlagun,1.0,Satisfactory,86,PM10
2021-04-24,Naharlagun,1.0,Satisfactory,82,PM10
2021-04-25,Naharlagun,1.0,Satisfactory,82,PM10
2021-04-26,Naharlagun,1.0,Moderate,105,PM10
2021-05-07,Naharlagun,1.0,Satisfactory,51,PM10
2021-05-08,Naharlagun,1.0,Good,44,PM10
2021-05-09,Naharlagun,1.0,Satisfactory,53,PM10
2021-05-10,Naharlagun,1.0,Satisfactory,59,PM10
2021-05-11,Naharlagun,1.0,Good,26,SO2
2021-05-12,Naharlagun,1.0,Good,27,SO2
2021-05-19,Naharlagun,1.0,Good,28,SO2
2021-06-05,Naharlagun,1.0,Good,30,O3
2021-06-10,Naharlagun,1.0,Good,39,PM10
2021-06-12,Naharlagun,1.0,Good,46,PM10
2021-06-15,Naharlagun,1.0,Good,31,SO2
2021-06-16,Naharlagun,1.0,Good,31,SO2
2021-06-18,Naharlagun,1.0,Good,31,SO2
2021-06-20,Naharlagun,1.0,Good,40,PM10
2021-06-21,Naharlagun,1.0,Good,31,SO2
2021-06-25,Naharlagun,1.0,Good,35,PM10
2021-06-30,Naharlagun,1.0,Good,33,SO2
2021-07-06,Naharlagun,1.0,Good,33,SO2
2021-07-09,Naharlagun,1.0,Good,37,PM10
2021-07-16,Naharlagun,1.0,Good,42,PM10
2021-07-23,Naharlagun,1.0,Good,35,SO2
2021-07-28,Naharlagun,1.0,Good,36,PM10
2021-07-29,Naharlagun,1.0,Good,35,SO2
2021-07-30,Naharlagun,1.0,Good,39,PM10
2021-07-31,Naharlagun,1.0,Good,35,SO2
2021-08-07,Naharlagun,1.0,Good,36,SO2
2021-08-08,Naharlagun,1.0,Good,36,SO2
2021-08-09,Naharlagun,1.0,Good,36,SO2
2021-08-11,Naharlagun,1.0,Good,37,SO2
2021-08-12,Naharlagun,1.0,Good,37,SO2
2021-08-13,Naharlagun,1.0,Good,37,SO2
2021-08-14,Naharlagun,1.0,Good,37,SO2
2021-08-18,Naharlagun,1.0,Good,37,SO2
2021-08-19,Naharlagun,1.0,Good,37,SO2
2021-08-20,Naharlagun,1.0,Good,38,SO2
2021-08-21,Naharlagun,1.0,Good,38,SO2
2021-08-24,Naharlagun,1.0,Good,38,SO2
2021-08-25,Naharlagun,1.0,Good,39,SO2
2021-08-27,Naharlagun,1.0,Good,38,SO2
2021-08-28,Naharlagun,1.0,Good,38,SO2
2021-08-29,Naharlagun,1.0,Good,38,SO2
2021-08-30,Naharlagun,1.0,Good,39,SO2
2021-09-03,Naharlagun,1.0,Good,40,SO2
2021-09-04,Naharlagun,1.0,Good,40,SO2
2021-09-08,Naharlagun,1.0,Good,40,SO2
2021-09-09,Naharlagun,1.0,Good,38,SO2
2021-09-10,Naharlagun,1.0,Good,41,SO2
2021-09-11,Naharlagun,1.0,Good,45,PM10
2021-09-12,Naharlagun,1.0,Good,47,PM10
2021-09-13,Naharlagun,1.0,Satisfactory,54,PM10
2021-09-14,Naharlagun,1.0,Good,50,PM10
2021-09-23,Naharlagun,1.0,Good,41,SO2
2021-09-24,Naharlagun,1.0,Good,44,PM10
2021-09-30,Naharlagun,1.0,Good,48,PM10
2021-10-05,Naharlagun,1.0,Satisfactory,51,PM10
2021-10-06,Naharlagun,1.0,Satisfactory,59,PM10
2021-10-07,Naharlagun,1.0,Satisfactory,58,PM10
2021-10-08,Naharlagun,1.0,Satisfactory,64,PM10
2021-10-12,Naharlagun,1.0,Satisfactory,57,PM10
2021-10-13,Naharlagun,1.0,Satisfactory,58,PM10
2021-10-14,Naharlagun,1.0,Satisfactory,51,PM10
2021-10-15,Naharlagun,1.0,Good,49,PM10
2021-10-27,Naharlagun,1.0,Satisfactory,52,PM10
2021-10-28,Naharlagun,1.0,Moderate,185,O3
2021-10-29,Naharlagun,1.0,Poor,233,O3
2021-10-30,Naharlagun,1.0,Good,46,SO2
2021-11-02,Naharlagun,1.0,Satisfactory,62,PM10
2021-11-06,Naharlagun,1.0,Good,48,PM10
2021-11-09,Naharlagun,1.0,Moderate,200,O3
2021-11-10,Naharlagun,1.0,Moderate,136,O3
2021-11-16,Naharlagun,1.0,Satisfactory,71,PM10
2021-11-18,Naharlagun,1.0,Satisfactory,83,PM10
2021-11-19,Naharlagun,1.0,Moderate,175,O3
2021-11-26,Naharlagun,1.0,Moderate,106,O3
2021-11-27,Naharlagun,1.0,Moderate,131,O3
2021-11-28,Naharlagun,1.0,Moderate,109,O3
2021-11-29,Naharlagun,1.0,Satisfactory,92,PM10
2021-12-02,Naharlagun,1.0,Moderate,109,O3
2021-12-04,Naharlagun,1.0,Moderate,123,O3
2021-12-05,Naharlagun,1.0,Moderate,117,O3
2021-12-06,Naharlagun,1.0,Moderate,140,O3
2021-12-11,Naharlagun,1.0,Satisfactory,75,O3
2021-12-16,Naharlagun,1.0,Satisfactory,80,PM10
2021-12-17,Naharlagun,1.0,Satisfactory,83,PM10
2021-12-22,Naharlagun,1.0,Poor,237,O3
2021-12-30,Naharlagun,1.0,Moderate,130,O3
2021-12-31,Naharlagun,1.0,Satisfactory,64,PM10
2022-01-01,Naharlagun,1.0,Poor,219,O3
2022-01-02,Naharlagun,1.0,Moderate,115,O3
2022-01-03,Naharlagun,1.0,Moderate,105,PM10
2022-01-04,Naharlagun,1.0,Moderate,124,O3
2022-01-06,Naharlagun,1.0,Moderate,110,PM10
2022-01-08,Naharlagun,1.0,Poor,229,O3
2022-01-09,Naharlagun,1.0,Moderate,126,O3
2022-01-10,Naharlagun,1.0,Moderate,138,O3
2022-01-11,Naharlagun,1.0,Moderate,119,PM10
2022-01-12,Naharlagun,1.0,Satisfactory,62,PM2.5
2022-01-18,Naharlagun,1.0,Satisfactory,84,PM10
2022-01-22,Naharlagun,1.0,Satisfactory,56,PM10
2022-01-23,Naharlagun,1.0,Satisfactory,65,PM10
2022-01-24,Naharlagun,1.0,Satisfactory,73,PM10
2022-01-25,Naharlagun,1.0,Satisfactory,83,PM10
2022-01-26,Naharlagun,1.0,Satisfactory,71,PM10
2022-01-27,Naharlagun,1.0,Satisfactory,56,SO2
2022-02-15,Naharlagun,1.0,Satisfactory,98,PM10
2022-02-18,Naharlagun,1.0,Satisfactory,95,PM10
2022-02-19,Naharlagun,1.0,Satisfactory,98,PM10
2022-02-20,Naharlagun,1.0,Satisfactory,91,PM10
2022-02-21,Naharlagun,1.0,Satisfactory,57,SO2
2022-03-01,Naharlagun,1.0,Moderate,131,PM10
2022-03-02,Naharlagun,1.0,Moderate,120,PM10
2022-03-05,Naharlagun,1.0,Moderate,171,PM10
2022-03-06,Naharlagun,1.0,Moderate,154,PM10
2022-03-07,Naharlagun,1.0,Poor,204,PM10
2022-03-11,Naharlagun,1.0,Moderate,159,PM10
2022-03-17,Naharlagun,1.0,Moderate,175,PM10
2022-03-18,Naharlagun,1.0,Moderate,181,PM10
2022-03-19,Naharlagun,1.0,Moderate,187,PM10
2022-03-20,Naharlagun,1.0,Moderate,187,PM10
2022-03-21,Naharlagun,1.0,Moderate,179,PM10
2022-03-26,Naharlagun,1.0,Satisfactory,61,SO2
2022-03-27,Naharlagun,1.0,Satisfactory,61,SO2
2022-03-28,Naharlagun,1.0,Moderate,102,PM10
2022-03-29,Naharlagun,1.0,Satisfactory,87,PM10
2022-04-07,Naharlagun,1.0,Satisfactory,61,SO2
2022-04-09,Naharlagun,1.0,Satisfactory,64,SO2
2022-04-30,Naharlagun,1.0,Satisfactory,63,SO2
2022-05-01,Naharlagun,1.0,Satisfactory,63,SO2
2022-05-02,Naharlagun,1.0,Satisfactory,64,SO2
2022-05-07,Naharlagun,1.0,Satisfactory,65,SO2
2022-05-08,Naharlagun,1.0,Satisfactory,65,SO2
2022-05-09,Naharlagun,1.0,Satisfactory,69,SO2
2022-05-10,Naharlagun,1.0,Satisfactory,67,SO2
2022-05-18,Naharlagun,1.0,Satisfactory,69,SO2
2022-05-19,Naharlagun,1.0,Satisfactory,65,SO2
2022-05-20,Naharlagun,1.0,Satisfactory,65,SO2
2022-05-24,Naharlagun,1.0,Satisfactory,66,SO2
2022-05-25,Naharlagun,1.0,Satisfactory,67,SO2
2022-06-01,Naharlagun,1.0,Satisfactory,68,SO2
2022-06-02,Naharlagun,1.0,Satisfactory,66,SO2
2022-06-10,Naharlagun,1.0,Good,27,PM2.5
2022-07-02,Naharlagun,1.0,Good,23,SO2
2022-07-03,Naharlagun,1.0,Good,23,SO2
2022-07-04,Naharlagun,1.0,Good,23,SO2
2022-07-07,Naharlagun,1.0,Good,24,SO2
2022-07-08,Naharlagun,1.0,Good,25,PM2.5
2022-07-16,Naharlagun,1.0,Good,26,PM2.5
2022-07-17,Naharlagun,1.0,Good,23,SO2
2022-07-18,Naharlagun,1.0,Good,23,SO2
2022-07-26,Naharlagun,1.0,Good,23,SO2
2022-07-29,Naharlagun,1.0,Good,29,PM2.5
2022-07-30,Naharlagun,1.0,Good,26,PM10
2022-07-31,Naharlagun,1.0,Good,23,SO2
2022-08-01,Naharlagun,1.0,Good,23,SO2
2022-08-02,Naharlagun,1.0,Good,23,SO2
2022-08-03,Naharlagun,1.0,Good,23,SO2
2022-08-04,Naharlagun,1.0,Good,23,SO2
2022-08-05,Naharlagun,1.0,Good,23,SO2
2022-08-09,Naharlagun,1.0,Good,23,SO2
2022-08-19,Naharlagun,1.0,Good,41,PM2.5
2022-08-30,Naharlagun,1.0,Good,22,SO2
2022-09-07,Naharlagun,1.0,Good,22,SO2
2022-09-22,Naharlagun,1.0,Good,22,SO2
2022-10-04,Naharlagun,1.0,Good,22,SO2
2022-10-05,Naharlagun,1.0,Good,22,SO2
2022-10-13,Naharlagun,1.0,Good,22,SO2
2022-10-14,Naharlagun,1.0,Good,44,PM2.5
2022-10-28,Naharlagun,1.0,Good,19,PM10
2022-12-02,Naharlagun,1.0,Good,28,PM2.5
2023-01-05,Naharlagun,1.0,Good,36,PM10
2023-01-06,Naharlagun,1.0,Good,38,PM2.5
2023-01-07,Naharlagun,1.0,Good,33,PM2.5
2023-01-08,Naharlagun,1.0,Good,46,PM10
2023-01-09,Naharlagun,1.0,Good,43,PM2.5
2023-01-10,Naharlagun,1.0,Good,42,PM2.5
2023-01-11,Naharlagun,1.0,Good,40,PM2.5
2023-01-12,Naharlagun,1.0,Good,40,PM2.5
2023-01-13,Naharlagun,1.0,Good,36,PM10
2023-01-14,Naharlagun,1.0,Good,28,PM2.5
2023-01-15,Naharlagun,1.0,Good,42,PM2.5
2023-01-16,Naharlagun,1.0,Satisfactory,59,PM2.5
2023-01-17,Naharlagun,1.0,Satisfactory,57,PM10
2023-01-18,Naharlagun,1.0,Satisfactory,82,PM2.5
2023-01-20,Naharlagun,1.0,Good,49,PM10
2023-01-21,Naharlagun,1.0,Good,50,PM2.5
2023-01-24,Naharlagun,1.0,Satisfactory,59,PM2.5
2023-01-25,Naharlagun,1.0,Satisfactory,62,PM2.5
2023-01-26,Naharlagun,1.0,Satisfactory,58,PM2.5
2023-01-27,Naharlagun,1.0,Satisfactory,57,PM2.5
2023-01-28,Naharlagun,1.0,Satisfactory,56,PM10
2023-01-29,Naharlagun,1.0,Satisfactory,57,PM10
2023-01-30,Naharlagun,1.0,Satisfactory,55,PM10
2023-01-31,Naharlagun,1.0,Satisfactory,51,PM2.5
2023-02-01,Naharlagun,1.0,Satisfactory,52,PM2.5
2023-02-02,Naharlagun,1.0,Satisfactory,58,PM2.5
2023-02-03,Naharlagun,1.0,Satisfactory,61,PM2.5
2023-02-07,Naharlagun,1.0,Satisfactory,85,PM2.5
2023-02-08,Naharlagun,1.0,Good,46,PM2.5
2023-02-09,Naharlagun,1.0,Good,36,PM10
2023-02-10,Naharlagun,1.0,Good,36,PM2.5
2023-02-11,Naharlagun,1.0,Good,38,PM10
2023-02-12,Naharlagun,1.0,Good,43,PM10
2023-02-13,Naharlagun,1.0,Satisfactory,52,PM10
2023-02-14,Naharlagun,1.0,Good,46,PM10
2023-02-15,Naharlagun,1.0,Good,44,PM10
2023-02-16,Naharlagun,1.0,Good,48,PM2.5
2023-02-17,Naharlagun,1.0,Good,44,PM2.5
2023-02-18,Naharlagun,1.0,Good,43,PM10
2023-02-20,Naharlagun,1.0,Satisfactory,66,PM2.5
2023-02-21,Naharlagun,1.0,Satisfactory,65,PM2.5
2023-02-22,Naharlagun,1.0,Satisfactory,52,PM10
2023-02-23,Naharlagun,1.0,Good,37,PM2.5
2023-02-24,Naharlagun,1.0,Good,28,PM2.5
2023-02-28,Naharlagun,1.0,Good,44,PM2.5
2023-03-02,Naharlagun,1.0,Satisfactory,54,PM2.5
2023-03-04,Naharlagun,1.0,Satisfactory,67,PM2.5
2023-03-05,Naharlagun,1.0,Satisfactory,64,PM2.5
2023-03-06,Naharlagun,1.0,Good,49,PM2.5
2023-03-07,Naharlagun,1.0,Good,47,PM2.5
2023-03-08,Naharlagun,1.0,Good,50,PM2.5
2023-03-09,Naharlagun,1.0,Satisfactory,54,PM10
2023-03-10,Naharlagun,1.0,Satisfactory,61,PM2.5
2023-03-11,Naharlagun,1.0,Satisfactory,62,PM2.5
2023-03-12,Naharlagun,1.0,Satisfactory,61,PM10
2023-03-13,Naharlagun,1.0,Good,40,PM10
2023-03-14,Naharlagun,1.0,Good,50,PM10
2023-03-15,Naharlagun,1.0,Satisfactory,51,PM10
2023-03-16,Naharlagun,1.0,Good,37,PM2.5
2023-03-17,Naharlagun,1.0,Good,37,PM2.5
2023-03-21,Naharlagun,1.0,Good,18,PM2.5
2023-03-27,Naharlagun,1.0,Good,14,CO
2023-03-28,Naharlagun,1.0,Good,41,PM2.5
2023-03-30,Naharlagun,1.0,Good,38,PM2.5
2023-03-31,Naharlagun,1.0,Good,26,PM2.5
2023-04-01,Naharlagun,1.0,Good,29,PM10
2023-04-04,Naharlagun,1.0,Good,17,PM10
2023-04-05,Naharlagun,1.0,Good,20,PM2.5
2023-04-06,Naharlagun,1.0,Good,38,PM2.5
2023-04-07,Naharlagun,1.0,Good,36,PM10
2023-04-08,Naharlagun,1.0,Good,43,PM2.5
2023-04-11,Naharlagun,1.0,Good,50,PM10
2023-04-12,Naharlagun,1.0,Satisfactory,53,PM10
2023-04-13,Naharlagun,1.0,Good,49,PM10
2023-04-14,Naharlagun,1.0,Good,47,PM10
2023-04-18,Naharlagun,1.0,Satisfactory,52,PM10
2023-04-19,Naharlagun,1.0,Satisfactory,52,PM10
2023-04-20,Naharlagun,1.0,Good,24,PM10
2023-05-18,Naharlagun,1.0,Good,49,PM2.5
2023-05-19,Naharlagun,1.0,Good,38,PM2.5
2023-05-20,Naharlagun,1.0,Good,31,PM2.5
2023-05-24,Naharlagun,1.0,Good,47,PM2.5
2023-05-25,Naharlagun,1.0,Good,32,PM10
2023-05-26,Naharlagun,1.0,Good,18,PM2.5
2023-05-27,Naharlagun,1.0,Good,27,PM10
2023-05-30,Naharlagun,1.0,Good,39,PM10
2023-05-31,Naharlagun,1.0,Good,49,PM2.5
2023-06-01,Naharlagun,1.0,Satisfactory,55,PM2.5
2023-06-02,Naharlagun,1.0,Satisfactory,55,PM2.5
2023-06-03,Naharlagun,1.0,Satisfactory,55,PM2.5
2023-06-08,Naharlagun,1.0,Satisfactory,65,PM10
2023-06-15,Naharlagun,1.0,Good,24,PM2.5
2023-06-16,Naharlagun,1.0,Good,27,PM10
2023-06-17,Naharlagun,1.0,Good,12,PM2.5
2023-06-18,Naharlagun,1.0,Good,21,PM10
2023-06-19,Naharlagun,1.0,Good,24,PM2.5
2023-06-20,Naharlagun,1.0,Good,14,PM2.5
2023-06-21,Naharlagun,1.0,Good,24,PM10
2023-06-22,Naharlagun,1.0,Good,20,PM2.5
2023-06-23,Naharlagun,1.0,Good,25,PM2.5
2023-06-24,Naharlagun,1.0,Good,28,PM2.5
2023-06-25,Naharlagun,1.0,Good,30,PM2.5
2023-06-29,Naharlagun,1.0,Good,13,PM2.5
2023-06-30,Naharlagun,1.0,Good,16,PM10
2023-07-01,Naharlagun,1.0,Good,17,PM2.5
2023-07-02,Naharlagun,1.0,Good,17,PM2.5
2023-07-03,Naharlagun,1.0,Good,26,PM10
2023-07-04,Naharlagun,1.0,Good,23,PM2.5
2023-07-05,Naharlagun,1.0,Good,27,PM10
2023-07-07,Naharlagun,1.0,Good,38,PM2.5
2023-07-20,Naharlagun,1.0,Good,37,PM2.5
2023-07-21,Naharlagun,1.0,Good,38,PM10
2023-07-22,Naharlagun,1.0,Satisfactory,55,PM2.5
2023-07-23,Naharlagun,1.0,Good,27,PM2.5
2023-07-24,Naharlagun,1.0,Good,16,PM2.5
2023-07-25,Naharlagun,1.0,Good,20,PM2.5
2023-08-01,Naharlagun,1.0,Good,31,PM10
2023-08-05,Naharlagun,1.0,Good,22,PM10
2023-08-09,Naharlagun,1.0,Good,35,PM10
2023-08-11,Naharlagun,1.0,Good,45,PM2.5
2023-09-06,Naharlagun,1.0,Satisfactory,52,PM2.5
2023-09-14,Naharlagun,1.0,Good,30,PM10
2023-09-15,Naharlagun,1.0,Good,41,PM10
2023-09-16,Naharlagun,1.0,Good,47,PM2.5
2023-09-17,Naharlagun,1.0,Good,39,PM2.5
2023-09-18,Naharlagun,1.0,Good,28,PM2.5
2023-09-20,Naharlagun,1.0,Good,24,PM10
2023-09-21,Naharlagun,1.0,Good,10,PM2.5
2023-09-22,Naharlagun,1.0,Good,34,PM10
2023-09-26,Naharlagun,1.0,Good,26,PM10
2023-09-29,Naharlagun,1.0,Good,35,PM2.5
2023-09-30,Naharlagun,1.0,Good,32,PM10
2023-10-01,Naharlagun,1.0,Good,30,PM10
2023-10-02,Naharlagun,1.0,Good,23,PM2.5
2023-10-05,Naharlagun,1.0,Good,12,PM2.5
2023-10-06,Naharlagun,1.0,Good,20,PM2.5
2023-10-07,Naharlagun,1.0,Good,20,PM2.5
2023-10-08,Naharlagun,1.0,Good,17,PM10
2023-10-09,Naharlagun,1.0,Good,15,PM2.5
2023-10-10,Naharlagun,1.0,Good,22,PM2.5
2023-10-11,Naharlagun,1.0,Good,28,PM10
2023-10-31,Naharlagun,1.0,Good,45,PM10
2023-11-01,Naharlagun,1.0,Good,36,PM2.5
2023-11-08,Naharlagun,1.0,Good,37,PM2.5
2023-11-09,Naharlagun,1.0,Satisfactory,57,PM2.5
2023-11-11,Naharlagun,1.0,Good,40,PM10
2023-11-12,Naharlagun,1.0,Good,49,PM2.5
2023-11-13,Naharlagun,1.0,Satisfactory,69,PM2.5
2023-11-14,Naharlagun,1.0,Satisfactory,52,PM2.5
2023-11-15,Naharlagun,1.0,Satisfactory,58,PM10
2023-11-23,Naharlagun,1.0,Good,41,PM2.5
2023-11-24,Naharlagun,1.0,Good,37,PM10
2023-11-29,Naharlagun,1.0,Satisfactory,68,PM2.5
2023-11-30,Naharlagun,1.0,Satisfactory,56,PM2.5
2023-12-07,Naharlagun,1.0,Satisfactory,58,PM2.5
2023-12-12,Naharlagun,1.0,Good,47,PM2.5
2023-12-14,Naharlagun,1.0,Good,29,PM10
2023-12-15,Naharlagun,1.0,Good,38,PM2.5
2023-12-16,Naharlagun,1.0,Good,45,PM10
2023-12-17,Naharlagun,1.0,Good,42,PM10
2023-12-18,Naharlagun,1.0,Satisfactory,54,PM2.5
2023-12-21,Naharlagun,1.0,Good,49,PM10
2023-12-23,Naharlagun,1.0,Satisfactory,58,PM2.5
2023-12-24,Naharlagun,1.0,Satisfactory,55,PM2.5
2023-12-25,Naharlagun,1.0,Satisfactory,64,PM2.5
2023-12-26,Naharlagun,1.0,Satisfactory,66,PM2.5
2023-12-27,Naharlagun,1.0,Satisfactory,90,PM2.5
2023-12-28,Naharlagun,1.0,Satisfactory,65,PM2.5
2023-12-29,Naharlagun,1.0,Satisfactory,78,PM2.5
